				22.2.9.11	23.1.4.1
					
				AbstractRespawnProcessor	AAbstractRespawnProcessor
				*7114f1f0f7	UTslParachuteAnimInstance
				KillTruck	AKillTruck
				TDMCK_WeaponStudio	ATDMCK_WeaponStudio
				TslBicycleVehicle	ATslBicycleVehicle
				TslFBRWeapon_MeleeDashAxe	ATslFBRWeapon_MeleeDashAxe
				TslFBRWeapon_MeleeSkill	ATslFBRWeapon_MeleeSkill
				TslFBRWeapon_MeleeTugHalberd	ATslFBRWeapon_MeleeTugHalberd
				TslFlyingVehicle	ATslFlyingVehicle
				TslHASSurvivorKit	ATslHASSurvivorKit
				TslHASSurvivorThrowable	ATslHASSurvivorThrowable
				TslHASWeapon_Machete	ATslHASWeapon_Machete
				TslHASWeapon_Win94	ATslHASWeapon_Win94
				TslLootTruckAISpawner	ATslLootTruckAISpawner
				TslMotorbikeVehicle	ATslMotorbikeVehicle
				TslMotorbikeVehicle_Sidecar	ATslMotorbikeVehicle_Sidecar
				TslMotorbikeVehicle_Standalone	ATslMotorbikeVehicle_Standalone
				TslVaultingHelper	ATslVaultingHelper
				TslVehicleAIManager	ATslVehicleAIManager
				TslVehicleAIPathZone	ATslVehicleAIPathZone
				TslVehicleAISpawner	ATslVehicleAISpawner
				TslVehicleConverter	ATslVehicleConverter
				TslVendingMachineSpot	ATslVendingMachineSpot
				TslWeaponDisplay	ATslWeaponDisplay
				TslWeaponSkinActor	ATslWeaponSkinActor
				TslWeapon_BlueChipDetector	ATslWeapon_BlueChipDetector
				TslWeapon_CanBomb	ATslWeapon_CanBomb
				TslWeapon_Deployable	ATslWeapon_Deployable
				TslWeapon_Drone	ATslWeapon_Drone
				TslWeapon_FBRShield	ATslWeapon_FBRShield
				TslWeapon_FlareGun	ATslWeapon_FlareGun
				TslWeapon_Gun_Launcher	ATslWeapon_Gun_Launcher
				TslWeapon_Gun_Projectile	ATslWeapon_Gun_Projectile
				TslWeapon_Gun_Projectile_GL	ATslWeapon_Gun_Projectile_GL
				TslWeapon_JerryCan	ATslWeapon_JerryCan
				TslWeapon_Melee_BuffOnly	ATslWeapon_Melee_BuffOnly
				TslWeapon_Mortar	ATslWeapon_Mortar
				TslWeapon_Shield	ATslWeapon_Shield
				TslWeapon_SpikeTrap	ATslWeapon_SpikeTrap
				TslWeapon_SpotterScope	ATslWeapon_SpotterScope
				TslWeapon_Toolbox	ATslWeapon_Toolbox
				TslWeapon_Trajectory_Buff	ATslWeapon_Trajectory_Buff
				TslWeapon_TraumaBag	ATslWeapon_TraumaBag
				TslWeapon_Utility	ATslWeapon_Utility
				TslWeatherManager	ATslWeatherManager
				TslWeatherPPController	ATslWeatherPPController
				TslWetEffect	ATslWetEffect
				WeapDecoyGrenade	AWeapDecoyGrenade
				WeaponStudio	AWeaponStudio
				WheelTrackManager	AWheelTrackManager
				*d4b53b1eaa	UAircraftPassengerSeatDataAsset
				*4d5668fbc9	UCharacterWeaponAnimInfoComponent
				*9ed0d5cecd	UDriverSeatDataAsset
				*6bda0aea9e	UGliderPassengerSeatDataAsset
				*2116837a50	UInventoryWeaponAnimInfoComponent
